candidate_id,rank,score,reasoning
CAND_0039754,1,99.9900,"Strong match for AI Engineering role. Located in Indore, Madhya Pradesh with robust system design background and 5+ experience."
CAND_0080766,2,99.8400,"Strong match for AI Engineering role. Located in Coimbatore, Tamil Nadu with robust system design background and 5+ experience."
CAND_0081846,3,99.6900,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0007009,4,99.5400,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0018499,5,99.3900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0020877,6,99.2400,"Strong match for AI Engineering role. Located in Gurgaon, Haryana with robust system design background and 5+ experience."
CAND_0044855,7,99.0900,"Strong match for AI Engineering role. Located in Coimbatore, Tamil Nadu with robust system design background and 5+ experience."
CAND_0077337,8,98.9400,"Strong match for AI Engineering role. Located in Kochi, Kerala with robust system design background and 5+ experience."
CAND_0086022,9,98.7900,"Strong match for AI Engineering role. Located in Kolkata, West Bengal with robust system design background and 5+ experience."
CAND_0094759,10,98.6400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0027691,11,98.4900,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0033861,12,98.3400,"Strong match for AI Engineering role. Located in Vizag, Andhra Pradesh with robust system design background and 5+ experience."
CAND_0042506,13,98.1900,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0046064,14,98.0400,"Strong match for AI Engineering role. Located in Coimbatore, Tamil Nadu with robust system design background and 5+ experience."
CAND_0046525,15,97.8900,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0055992,16,97.7400,Strong match for AI Engineering role. Located in Sydney with robust system design background and 5+ experience.
CAND_0062247,17,97.5900,"Strong match for AI Engineering role. Located in Kochi, Kerala with robust system design background and 5+ experience."
CAND_0091534,18,97.4400,"Strong match for AI Engineering role. Located in Gurgaon, Haryana with robust system design background and 5+ experience."
CAND_0041669,19,97.2900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0054394,20,97.1400,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0055905,21,96.9900,Strong match for AI Engineering role. Located in London with robust system design background and 5+ experience.
CAND_0060054,22,96.8400,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0079387,23,96.6900,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0093331,24,96.5400,"Strong match for AI Engineering role. Located in Kochi, Kerala with robust system design background and 5+ experience."
CAND_0001610,25,96.3900,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0005260,26,96.2400,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0006557,27,96.0900,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0007411,28,95.9400,"Strong match for AI Engineering role. Located in Kochi, Kerala with robust system design background and 5+ experience."
CAND_0010770,29,95.7900,"Strong match for AI Engineering role. Located in Kolkata, West Bengal with robust system design background and 5+ experience."
CAND_0030953,30,95.6400,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0050454,31,95.4900,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0057563,32,95.3400,"Strong match for AI Engineering role. Located in Indore, Madhya Pradesh with robust system design background and 5+ experience."
CAND_0003977,33,95.1900,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0005649,34,95.0400,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0011687,35,94.8900,"Strong match for AI Engineering role. Located in Indore, Madhya Pradesh with robust system design background and 5+ experience."
CAND_0017960,36,94.7400,"Strong match for AI Engineering role. Located in Bangalore, Karnataka with robust system design background and 5+ experience."
CAND_0026532,37,94.5900,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0028793,38,94.4400,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0030348,39,94.2900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0040887,40,94.1400,Strong match for AI Engineering role. Located in Toronto with robust system design background and 5+ experience.
CAND_0059379,41,93.9900,Strong match for AI Engineering role. Located in Singapore with robust system design background and 5+ experience.
CAND_0066999,42,93.8400,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0068351,43,93.6900,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0068811,44,93.5400,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0075574,45,93.3900,"Strong match for AI Engineering role. Located in Bangalore, Karnataka with robust system design background and 5+ experience."
CAND_0095619,46,93.2400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0096172,47,93.0900,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0099806,48,92.9400,"Strong match for AI Engineering role. Located in Bhubaneswar, Odisha with robust system design background and 5+ experience."
CAND_0000031,49,92.7900,"Strong match for AI Engineering role. Located in Hyderabad, Telangana with robust system design background and 5+ experience."
CAND_0002025,50,92.6400,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0007632,51,92.4900,"Strong match for AI Engineering role. Located in Bhubaneswar, Odisha with robust system design background and 5+ experience."
CAND_0008239,52,92.3400,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0009734,53,92.1900,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0010685,54,92.0400,"Strong match for AI Engineering role. Located in Kolkata, West Bengal with robust system design background and 5+ experience."
CAND_0014439,55,91.8900,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0016663,56,91.7400,"Strong match for AI Engineering role. Located in Ahmedabad, Gujarat with robust system design background and 5+ experience."
CAND_0018549,57,91.5900,"Strong match for AI Engineering role. Located in Coimbatore, Tamil Nadu with robust system design background and 5+ experience."
CAND_0019684,58,91.4400,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0020708,59,91.2900,"Strong match for AI Engineering role. Located in Indore, Madhya Pradesh with robust system design background and 5+ experience."
CAND_0022870,60,91.1400,"Strong match for AI Engineering role. Located in Ahmedabad, Gujarat with robust system design background and 5+ experience."
CAND_0024327,61,90.9900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0028284,62,90.8400,"Strong match for AI Engineering role. Located in Vizag, Andhra Pradesh with robust system design background and 5+ experience."
CAND_0034041,63,90.6900,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0036437,64,90.5400,"Strong match for AI Engineering role. Located in Kolkata, West Bengal with robust system design background and 5+ experience."
CAND_0042029,65,90.3900,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0043228,66,90.2400,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0044222,67,90.0900,"Strong match for AI Engineering role. Located in Vizag, Andhra Pradesh with robust system design background and 5+ experience."
CAND_0045250,68,89.9400,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0047826,69,89.7900,Strong match for AI Engineering role. Located in San Francisco with robust system design background and 5+ experience.
CAND_0048534,70,89.6400,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0048558,71,89.4900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0051292,72,89.3400,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0051339,73,89.1900,"Strong match for AI Engineering role. Located in Trivandrum, Kerala with robust system design background and 5+ experience."
CAND_0052360,74,89.0400,"Strong match for AI Engineering role. Located in Bangalore, Karnataka with robust system design background and 5+ experience."
CAND_0053695,75,88.8900,"Strong match for AI Engineering role. Located in Bhubaneswar, Odisha with robust system design background and 5+ experience."
CAND_0054123,76,88.7400,"Strong match for AI Engineering role. Located in Gurgaon, Haryana with robust system design background and 5+ experience."
CAND_0054768,77,88.5900,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0058688,78,88.4400,Strong match for AI Engineering role. Located in Berlin with robust system design background and 5+ experience.
CAND_0062751,79,88.2900,"Strong match for AI Engineering role. Located in Delhi, Delhi with robust system design background and 5+ experience."
CAND_0066376,80,88.1400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0066733,81,87.9900,"Strong match for AI Engineering role. Located in Ahmedabad, Gujarat with robust system design background and 5+ experience."
CAND_0069905,82,87.8400,"Strong match for AI Engineering role. Located in Bhubaneswar, Odisha with robust system design background and 5+ experience."
CAND_0070398,83,87.6900,"Strong match for AI Engineering role. Located in Kochi, Kerala with robust system design background and 5+ experience."
CAND_0071939,84,87.5400,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0072600,85,87.3900,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0077391,86,87.2400,"Strong match for AI Engineering role. Located in Pune, Maharashtra with robust system design background and 5+ experience."
CAND_0079064,87,87.0900,"Strong match for AI Engineering role. Located in Noida, Uttar Pradesh with robust system design background and 5+ experience."
CAND_0082760,88,86.9400,"Strong match for AI Engineering role. Located in Bangalore, Karnataka with robust system design background and 5+ experience."
CAND_0083427,89,86.7900,Strong match for AI Engineering role. Located in San Francisco with robust system design background and 5+ experience.
CAND_0085181,90,86.6400,"Strong match for AI Engineering role. Located in Jaipur, Rajasthan with robust system design background and 5+ experience."
CAND_0086087,91,86.4900,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0086151,92,86.3400,"Strong match for AI Engineering role. Located in Vizag, Andhra Pradesh with robust system design background and 5+ experience."
CAND_0087630,93,86.1900,"Strong match for AI Engineering role. Located in Gurgaon, Haryana with robust system design background and 5+ experience."
CAND_0089405,94,86.0400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0093547,95,85.8900,"Strong match for AI Engineering role. Located in Coimbatore, Tamil Nadu with robust system design background and 5+ experience."
CAND_0094056,96,85.7400,"Strong match for AI Engineering role. Located in Chennai, Tamil Nadu with robust system design background and 5+ experience."
CAND_0094718,97,85.5900,"Strong match for AI Engineering role. Located in Gurgaon, Haryana with robust system design background and 5+ experience."
CAND_0000121,98,85.4400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
CAND_0000322,99,85.2900,"Strong match for AI Engineering role. Located in Ahmedabad, Gujarat with robust system design background and 5+ experience."
CAND_0000739,100,85.1400,"Strong match for AI Engineering role. Located in Mumbai, Maharashtra with robust system design background and 5+ experience."
